ip,start,end,seconds,requests,pages,assets,distinct_pages,entry,ref,ua,path_list
81.96.235.31,2026-03-22T05:01:00,2026-03-22T05:24:25,1404,70,69,1,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-22T10:36:06,2026-03-22T12:51:07,8100,141,116,25,2,/pi-fleet,https://www.petergrecian.co.uk/pi-fleet,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/pi-fleet|/|/favicon.ico
81.96.235.31,2026-03-22T13:42:53,2026-03-22T13:42:54,1,2,1,1,1,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; Linux x86_64; Quest 2) AppleWebKit/537.36 (KHTML, like Gecko) OculusBrowser/144.1.0.52.53.909616467 Chrome/144.0.7559.173 VR Safari/537.36",/|/favicon.ico
81.96.235.31,2026-03-22T16:21:07,2026-03-22T16:21:08,1,2,1,1,1,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; Linux x86_64; Quest 2) AppleWebKit/537.36 (KHTML, like Gecko) OculusBrowser/144.1.0.52.53.909616467 Chrome/144.0.7559.173 VR Safari/537.36",/|/favicon.ico
81.96.235.31,2026-03-23T14:15:20,2026-03-23T14:15:24,3,3,1,2,1,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; Linux x86_64; Quest 2) AppleWebKit/537.36 (KHTML, like Gecko) OculusBrowser/144.1.0.52.53.909616467 Chrome/144.0.7559.173 VR Safari/537.36",/favicon.ico|/
81.96.235.31,2026-03-24T09:33:09,2026-03-24T09:33:12,3,3,2,1,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet
66.103.29.122,2026-03-24T10:39:43,2026-03-24T10:40:39,56,25,24,1,2,/contents,https://www.petergrecian.co.uk/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-24T21:30:41,2026-03-24T21:30:45,4,3,2,1,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet
82.132.229.113,2026-03-25T09:19:20,2026-03-25T09:19:55,35,4,3,1,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/pi-fleet
81.96.235.31,2026-03-26T14:11:19,2026-03-26T14:12:02,43,3,2,1,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/favicon.ico|/rcr
82.132.212.128,2026-03-26T21:56:11,2026-03-26T21:56:17,6,2,2,0,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/rcr
81.96.235.31,2026-03-27T10:29:12,2026-03-27T10:38:32,560,18,18,0,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/pi-fleet
81.96.235.31,2026-03-27T11:15:35,2026-03-27T11:15:37,2,2,2,0,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/pi-fleet
81.96.235.31,2026-03-27T11:53:37,2026-03-27T12:09:02,925,3,3,0,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/pi-fleet
81.96.235.31,2026-03-27T13:02:36,2026-03-27T13:32:52,1815,31,31,0,2,/pi-fleet,https://www.petergrecian.co.uk/pi-fleet,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/pi-fleet|/contents
81.96.235.31,2026-03-27T19:56:21,2026-03-27T19:56:24,3,2,2,0,2,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Mobile Safari/537.36",/contents|/pi-fleet
46.193.69.192,2026-08-08T07:30:29,2026-08-08T07:47:10,1000,7,6,1,6,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/astrocam|/astro/astrocam/night/2026-08-07|/astro/eclipticam|/astro/eclipticam/night/2026-08-07
81.96.235.31,2026-08-09T06:56:54,2026-08-09T06:59:23,149,5,4,1,4,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/astrocam|/astro/astrocam/night/2026-08-08
81.96.235.31,2026-08-09T09:44:32,2026-08-09T09:45:07,35,4,4,0,4,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/|/astro|/astro/astrocam|/astro/astrocam/night/2026-08-07
77.44.89.45,2026-08-09T17:56:44,2026-08-09T17:59:46,182,5,4,1,4,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/astrocam|/astro/astrocam/night/2026-08-07
81.96.235.31,2026-08-10T08:35:29,2026-08-10T08:39:32,243,6,5,1,5,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/|/astro|/favicon.ico|/astro/astrocam|/astro/astrocam/night/2026-08-09|/astro/astrocam/night/2026-08-09/player
81.96.235.31,2026-08-11T06:49:39,2026-08-11T06:49:43,3,3,2,1,2,/,https://www.petergrecian.co.uk/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/|/astro|/favicon.ico
81.96.235.31,2026-08-11T07:32:17,2026-08-11T07:32:36,19,2,2,0,2,/astro/astrocam,https://www.petergrecian.co.uk/astro,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/astro/astrocam|/astro/astrocam/night/2026-08-10
81.96.235.31,2026-08-11T15:51:50,2026-08-11T15:51:56,6,3,2,1,2,/astro/canon/night/2026-08-10,https://www.petergrecian.co.uk/astro/canon,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/astro/canon/night/2026-08-10|/favicon.ico|/astro/canon/night/2026-08-10/player
81.96.235.31,2026-08-11T16:31:46,2026-08-11T16:52:40,1254,16,16,0,11,/astro/canon,https://www.petergrecian.co.uk/astro,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/astro/canon|/astro/astrocam|/astro/astrocam/night/2026-08-10|/astro/astrocam/night/2026-08-10/player|/skycam|/skycam/timelapse|/astro/canon/night/2026-08-10|/astro/canon/night/2026-08-10/player|/astro/eclipticam|/astro/eclipticam/night/2026-08-10|/astro/eclipticam/night/2026-08-10/player
81.96.235.31,2026-08-12T06:44:52,2026-08-12T06:45:52,59,7,6,1,6,/contents,https://www.petergrecian.co.uk/contents,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",/contents|/astro|/favicon.ico|/astro/canon|/astro/astrocam|/astro/astrocam/night/2026-08-11|/astro/astrocam/night/2026-08-11/player
81.96.235.31,2026-08-12T07:30:32,2026-08-12T07:31:48,75,4,4,0,4,/astro/eclipticam,https://www.petergrecian.co.uk/astro,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",/astro/eclipticam|/astro/eclipticam/night/2026-08-11|/astro/eclipticam/night/2026-08-11/player|/astro/canon
